,file,files_cc
316,MessageTest.scala,0
317,AsyncProducerTest.scala,0
318,ProducerMethodsTest.scala,0
319,ServerShutdownTest.scala,29
320,TestUtils.scala,301
321,UtilsTest.scala,19
322,EmbeddedZookeeper.scala,3
323,ZKEphemeralTest.scala,0
324,ZKLoadBalanceTest.scala,6
325,ZooKeeperTestHarness.scala,0
326,java-producer-consumer-demo.sh,0
327,java-simple-consumer-demo.sh,0
328,Consumer.java,0
329,ExampleUtils.java,0
330,KafkaConsumerProducerDemo.java,3
331,KafkaProperties.java,1
332,Producer.java,0
333,SimpleConsumerDemo.java,0
334,sbt-launch.jar,0
335,.classpath,0
336,.project,0
337,jopt-simple-3.1.jar,0
338,exporting.js,0
339,highcharts.js,0
340,kafka.js,0
341,report.html,0
342,run-simulator.sh,0
343,KafkaPerfSimulator.java,0
344,KafkaSimulatorMXBean.java,0
345,PerfTimer.java,0
346,SimplePerfConsumer.java,0
347,BrokerJmxClient.java,0
348,remote-kafka-env.sh,0
349,run-fetchsize-test.sh,0
350,run-msgsize-test.sh,0
351,run-numconsumer-sustained.sh,0
352,run-numconsumer-test.sh,0
353,run-numproducer-single-topic.sh,0
354,run-numproducer-test.sh,0
355,run-numtopic-test.sh,0
356,build.properties,0
357,KafkaProject.scala,0
358,Plugins.scala,0
359,sbt,0
360,expected.out,0
361,run-test.sh,0
362,server_source1.properties,0
363,server_source2.properties,0
364,server_source3.properties,0
365,server_target1.properties,0
366,server_target2.properties,0
367,zookeeper_source.properties,0
368,zookeeper_target.properties,0
369,run-compression-test.sh,0
370,zkclient-20110412.jar,0
371,TopicEventHandler.scala,0
372,ZookeeperTopicEventWatcher.scala,0
373,AsyncProducerInterruptedException.scala,0
374,blacklisttest.consumer.properties,0
375,mirror_producer.properties,0
376,whitelisttest.consumer.properties,0
377,SocketServerTest.scala,207
378,IllegalQueueStateException.scala,0
379,ConsumerOffsetChecker.scala,0
380,Microsoft.StyleCop.Targets,0
381,AsyncProducerConfig.cs,0
382,BrokerPartitionInfo.cs,0
383,BrokerPartitionInfoCollection.cs,0
384,ConsumerConfig.cs,0
385,IAsyncProducerConfigShared.cs,0
386,ISyncProducerConfigShared.cs,0
387,KafkaClientConfiguration.cs,0
388,KafkaServer.cs,0
389,ProducerConfig.cs,0
