,file,frequency_in_commits
414,BufferedMessageSet.cs,5
415,MessageSet.cs,5
416,AsyncProducer.cs,5
417,AsyncProducerPool.cs,5
418,IAsyncProducer.cs,5
419,ICallbackHandler.cs,4
420,MessageSent.cs,4
421,IProducer.cs,4
422,IProducerPool.cs,5
423,ConfigBrokerPartitionInfo.cs,5
424,DefaultPartitioner.cs,5
425,IBrokerPartitionInfo.cs,4
426,IPartitioner.cs,4
427,ZKBrokerPartitionInfo.cs,5
428,Producer.StrMsg.cs,5
429,ProducerData.cs,4
430,ProducerPool.cs,5
431,ProducerPoolData.cs,4
432,ProducerTypes.cs,4
433,ISyncProducer.cs,5
434,SyncProducer.cs,5
435,SyncProducerPool.cs,5
436,RequestTypes.cs,4
437,DefaultEncoder.cs,4
438,IEncoder.cs,4
439,IWritable.cs,4
440,KafkaBinaryReader.cs,5
441,KafkaBinaryWriter.cs,4
442,StringEncoder.cs,4
443,Crc32Hasher.cs,4
444,ErrorMapping.cs,4
445,Extensions.cs,4
446,Guard.cs,5
447,KafkaScheduler.cs,4
448,ReflectionHelper.cs,5
449,ZKGroupDirs.cs,4
450,ZKGroupTopicDirs.cs,4
451,ZkUtils.cs,4
452,ZooKeeperAwareKafkaClientBase.cs,5
453,ChildChangedEventItem.cs,4
454,DataChangedEventItem.cs,4
455,ZooKeeperChildChangedEventArgs.cs,4
456,ZooKeeperDataChangedEventArgs.cs,4
457,ZooKeeperEventArgs.cs,4
458,ZooKeeperEventTypes.cs,4
459,ZooKeeperSessionCreatedEventArgs.cs,4
460,ZooKeeperStateChangedEventArgs.cs,4
461,IZooKeeperClient.cs,5
462,IZooKeeperConnection.cs,4
463,IZooKeeperSerializer.cs,4
464,BrokerTopicsListener.cs,5
465,IZooKeeperChildListener.cs,4
466,IZooKeeperDataListener.cs,4
467,IZooKeeperStateListener.cs,4
468,ZKRebalancerListener.cs,5
469,ZKSessionExpireListener.cs,5
470,ZooKeeperClient.Watcher.cs,4
471,ZooKeeperClient.cs,5
472,ZooKeeperConnection.cs,5
473,ZooKeeperStringSerializer.cs,5
474,Kafka.FxCop,4
475,App.config,13
476,ConsumerRebalancingTests.cs,5
477,ConsumerTests.cs,5
478,IntegrationFixtureBase.cs,5
479,Log4Net.config,4
480,MockAlwaysZeroPartitioner.cs,5
481,ProducerTests.cs,5
482,TestHelper.cs,5
483,TestMultipleBrokersHelper.cs,5
484,TestsSetup.cs,4
485,ZKBrokerPartitionInfoTests.cs,5
486,ZooKeeperAwareProducerTests.cs,5
487,ZooKeeperClientTests.cs,5
488,ZooKeeperConnectionTests.cs,5
489,MessageSetTests.cs,5
490,PartitioningTests.cs,5
491,ConsumerTopicStat.scala,7
492,kafka-console-producer.sh,9
493,ConsoleProducer.scala,73
494,sbt-launch-0.7.7.jar,2
495,Mx4jLoader.scala,12
496,KEYS,3
497,autoconf.sh,3
498,.rat-excludes,2
499,run-rat.sh,5
500,apache-rat-0.8-SNAPSHOT.jar,2
501,zookeeper-shell.sh,5
502,JmxTool.scala,29
503,payload_codec.go,5
504,producer.properties,27
505,DISCLAIMER,2
506,Logging.scala,16
507,PerfConfig.scala,14
508,ConsumerReblanceFailedException.scala,2
509,mirror_producer1.properties,7
510,mirror_producer2.properties,7
511,mirror_producer3.properties,7
512,server_source4.properties,7
513,server_target3.properties,7
514,RequestChannel.scala,130
515,KafkaApis.scala,540
516,KafkaRequestHandler.scala,52
517,kafka-create-topic.sh,4
518,kafka-delete-topic.sh,3
519,kafka-list-topic.sh,3
520,AdminUtils.scala,100
521,CreateTopicCommand.scala,12
522,DeleteTopicCommand.scala,4
523,ListTopicCommand.scala,9
524,PartitionMetaData.scala,1
525,AdminTest.scala,84
526,TopicMetadata.scala,36
527,TopicMetadataRequest.scala,46
528,KafkaZookeperClient.scala,1
529,TopicMetadataTest.scala,44
530,VerifyConsumerRebalance.scala,24
531,FailedToSendMessageException.scala,2
532,ProducerClosedException.scala,3
533,FetchResponse.scala,45
534,FetchRequestFormatException.scala,1
535,ExportZkOffsets.scala,20
536,ImportZkOffsets.scala,16
537,NoLeaderForPartitionException.scala,1
538,ProducerResponse.scala,22
539,Replica.scala,46
540,LeaderElectionTest.scala,73
541,ReplicaManager.scala,334
542,BlockingChannel.scala,15
543,KafkaStream.scala,11
544,TopicFilter.scala,11
545,MessageAndMetadata.scala,8
546,MirrorMaker.scala,105
547,TopicFilterTest.scala,20
548,server_source_1_1.properties,4
549,server_source_1_2.properties,4
550,server_source_2_1.properties,4
551,server_source_2_2.properties,4
552,server_target_1_1.properties,4
553,server_target_1_2.properties,4
554,whitelisttest_1.consumer.properties,4
555,whitelisttest_2.consumer.properties,4
556,zookeeper_source_1.properties,2
557,zookeeper_source_2.properties,2
558,NoEpochForPartitionException.scala,2
559,StateChangeCommand.scala,5
560,StateChangeCommandHandler.scala,4
561,ZkQueue.scala,4
562,StateChangeTest.scala,4
563,RequestPurgatory.scala,21
564,TestEndToEndLatency.scala,16
565,RequestPurgatoryTest.scala,15
566,zkclient-20120522.jar,2
567,NotLeaderForPartitionException.scala,3
568,UnknownTopicException.scala,2
569,ReplicaFetcherThread.scala,147
570,ISRExpirationTest.scala,47
571,ReplicaFetchTest.scala,33
572,LeaderAndISRRequest.scala,7
573,LeaderAndISRResponse.scala,3
574,OffsetResponse.scala,21
575,RequestOrResponse.scala,16
576,StopReplicaRequest.scala,26
577,StopReplicaResponse.scala,14
578,TopicMetaDataResponse.scala,2
579,ControllerToBrokerRequestTest.scala,4
580,KafkaController.scala,256
581,ControllerBasicTest.scala,6
582,util.sh,8
583,AbstractFetcherManager.scala,47
584,AbstractFetcherThread.scala,127
585,ReplicaFetcherManager.scala,23
586,RequestTimedOutException.scala,2
587,ConsumerFetcherManager.scala,48
588,ConsumerFetcherThread.scala,39
589,KafkaException.scala,4
590,LeaderNotAvailableException.scala,3
591,ReplicaNotAvailableException.scala,3
592,LogRecoveryTest.scala,63
593,HighwaterMarkCheckpoint.scala,8
594,HighwatermarkPersistenceTest.scala,69
595,BrokerNotExistException.scala,5
596,KafkaCSVMetricsReporter.scala,15
597,KafkaMetricsConfig.scala,6
598,KafkaMetricsGroup.scala,28
599,KafkaMetricsReporter.scala,10
600,KafkaTimer.scala,3
601,KafkaTimerTest.scala,11
602,ShutdownableThread.scala,12
603,UnknownTopicOrPartitionException.scala,3
604,README.txt,7
605,__init__.py,101
606,cluster_config.json,107
607,console_consumer.properties,15
608,producer_performance.properties,11
609,replica_basic_test.py,19
610,testcase_1_properties.json,11
611,system_test_env.py,4
612,system_test_runner.py,7
613,kafka_system_test_utils.py,38
614,setup_utils.py,4
615,system_test_utils.py,9
616,testcase_env.py,10
617,RpcDataSerializationTest.scala,7
618,Log4jController.scala,12
619,VerifiableProperties.scala,18
620,metrics.json,5
621,metrics.py,6
622,pyh.py,2
623,TopicNameValidator.scala,1
624,SimpleFetchTest.scala,75
625,LeaderAndIsrRequest.scala,33
626,BrokerNotAvailableException.scala,2
627,PartitionOfflineException.scala,5
628,Topic.scala,20
629,TopicTest.scala,16
630,TopicAndPartition.scala,12
631,StateChangeFailedException.scala,4
632,ControllerChannelManager.scala,152
633,PartitionStateMachine.scala,90
634,ReplicaStateMachine.scala,86
635,LeaderElector.scala,4
636,ZookeeperLeaderElector.scala,28
637,TopicMetadataResponse.scala,16
638,KafkaMigrationTool.java,20
639,KafkaStorageException.scala,3
640,InvalidTopicException.scala,1
641,MessageSizeTooLargeException.scala,2
642,LogSegment.scala,95
643,OffsetIndex.scala,54
644,OffsetPosition.scala,2
645,CompressionFactory.scala,7
646,RequestResponseSerializationTest.scala,58
647,LogSegmentTest.scala,60
648,OffsetIndexTest.scala,22
649,MessageCompressionTest.scala,18
650,metrics-annotation-3.0.0-10ccc80c.jar,2
651,metrics-core-3.0.0-10ccc80c.jar,1
652,logging.conf,2
653,mirror_consumer.properties,5
654,mirror_maker_test.py,22
655,testcase_5001_properties.json,11
656,testcase_0001_properties.json,12
657,testcase_0002_properties.json,10
658,testcase_0003_properties.json,10
659,testcase_0004_properties.json,10
660,testcase_0005_properties.json,10
661,testcase_0006_properties.json,10
662,testcase_0007_properties.json,10
663,testcase_0008_properties.json,10
664,testcase_0009_properties.json,10
665,testcase_0010_properties.json,8
666,testcase_0021_properties.json,8
667,testcase_0022_properties.json,8
668,testcase_0023_properties.json,8
669,testcase_0101_properties.json,11
670,testcase_0102_properties.json,11
671,testcase_0103_properties.json,11
672,testcase_0104_properties.json,11
673,testcase_0105_properties.json,11
674,testcase_0106_properties.json,11
675,testcase_0107_properties.json,11
676,testcase_0108_properties.json,11
677,testcase_0109_properties.json,11
678,testcase_0110_properties.json,8
679,testcase_0111_properties.json,8
680,testcase_0112_properties.json,8
681,testcase_0113_properties.json,8
682,testcase_0114_properties.json,8
683,testcase_0115_properties.json,8
684,testcase_0116_properties.json,8
685,testcase_0117_properties.json,8
686,testcase_0118_properties.json,8
687,testcase_0121_properties.json,8
688,testcase_0122_properties.json,8
689,testcase_0123_properties.json,8
690,run_sanity.sh,4
691,testcase_to_run.json,8
692,testcase_to_run_sanity.json,2
693,testcase_to_skip.json,2
694,replication_utils.py,4
695,kafka-check-reassignment-status.sh,6
696,kafka-reassign-partitions.sh,7
697,CheckReassignmentStatus.scala,8
698,ReassignPartitionsCommand.scala,80
699,AdminCommandFailedException.scala,3
700,PartitionLeaderSelector.scala,33
701,kafka-preferred-replica-election.sh,5
702,PreferredReplicaLeaderElectionCommand.scala,40
703,ApiUtils.scala,10
704,LeaderAndIsrResponse.scala,11
705,ClientUtils.scala,36
706,CommandLineUtils.scala,23
707,Json.scala,15
708,metrics-annotation-3.0.1.jar,2
709,metrics-core-3.0.1.jar,1
710,kafka-console-consumer.bat,4
711,kafka-console-producer.bat,4
712,kafka-run-class.bat,35
713,kafka-server-start.bat,5
714,zookeeper-server-start.bat,4
715,sbt.bat,2
716,kafka-0.7.0.jar,2
717,kafka-perf-0.7.0.jar,3
718,zkclient-0.1.jar,2
719,migration_consumer.properties,2
720,migration_producer.properties,6
721,migration_tool_test.py,8
722,testcase_9001_properties.json,7
723,testcase_5002_properties.json,10
724,testcase_0151_properties.json,7
725,testcase_0152_properties.json,7
726,testcase_0153_properties.json,8
727,testcase_0154_properties.json,8
728,testcase_0155_properties.json,7
729,testcase_0156_properties.json,7
730,testcase_0157_properties.json,8
731,testcase_0158_properties.json,8
732,testcase_0201_properties.json,7
733,testcase_0202_properties.json,7
734,testcase_0203_properties.json,7
735,testcase_0204_properties.json,7
736,testcase_0205_properties.json,7
737,testcase_0206_properties.json,7
738,testcase_0207_properties.json,7
739,testcase_0208_properties.json,7
740,testcase_0251_properties.json,7
741,testcase_0252_properties.json,7
742,testcase_0253_properties.json,7
743,testcase_0254_properties.json,7
744,testcase_0255_properties.json,7
745,testcase_0256_properties.json,7
746,testcase_0257_properties.json,7
747,testcase_0258_properties.json,7
748,testcase_0301_properties.json,7
749,testcase_0302_properties.json,7
750,testcase_0303_properties.json,7
751,testcase_0304_properties.json,7
752,testcase_0305_properties.json,7
753,testcase_0306_properties.json,7
754,testcase_0307_properties.json,7
755,testcase_0308_properties.json,7
756,testcase_to_run_all.json,6
757,ShutdownBroker.scala,6
758,FileLock.scala,9
759,ConsumerIteratorTest.scala,25
760,testcase_9003_properties.json,6
761,testcase_9004_properties.json,6
762,testcase_9005_properties.json,6
763,testcase_9006_properties.json,6
764,testcase_5003_properties.json,10
765,testcase_5004_properties.json,9
766,testcase_5005_properties.json,9
767,testcase_5006_properties.json,9
768,testcase_0124_properties.json,6
769,testcase_0125_properties.json,6
770,testcase_0126_properties.json,6
771,testcase_0127_properties.json,6
772,testcase_0131_properties.json,7
773,testcase_0132_properties.json,7
774,testcase_0133_properties.json,7
775,testcase_4001_properties.json,6
776,testcase_4002_properties.json,6
